longitude,latitude
-75.0195464,-0.1404464
-75.0119325,-0.1486872
-74.9851006,-0.1478871
-74.9726846,-0.1549803
-74.9700503,-0.1670526
-74.9600379,-0.1773525
-74.9558605,-0.1949175
-74.9491718,-0.200388
-74.9459629,-0.2012375
-74.9451652,-0.2015582
-74.9430044,-0.2020208
-74.9386563,-0.2013843
-74.9349172,-0.2023597
-74.9323422,-0.2081961
-74.9308805,-0.2214823
-74.927919,-0.2257116
-74.9235309,-0.2278232
-74.917944,-0.2240853
-74.9158345,-0.2190949
-74.9158949,-0.2145794
-74.9169439,-0.2059011
-74.9163338,-0.2021488
-74.9142497,-0.201939
-74.9120324,-0.2023597
-74.907623,-0.2061362
-74.9026448,-0.2138609
-74.8953599,-0.2355763
-74.8832788,-0.2432793
-74.8764875,-0.239009
-74.8579351,-0.2391034
-74.8449575,-0.2308721
-74.8306236,-0.2052936
-74.819507,-0.1991486
-74.8058652,-0.188463
-74.8029521,-0.1871848
-74.8008174,-0.1870572
-74.7966761,-0.1877653
-74.7934896,-0.1887985
-74.7906465,-0.1908123
-74.7862691,-0.1952326
-74.7847027,-0.198065
-74.783544,-0.2013909
-74.7809047,-0.2044164
-74.7751648,-0.2086467
-74.7615561,-0.2236458
-74.7541063,-0.2470688
-74.7462613,-0.2650156
-74.7409398,-0.2792633
-74.7333867,-0.286473
-74.7285802,-0.2969442
-74.7290952,-0.3093036
-74.7308118,-0.3190882
-74.7329405,-0.3336714
-74.7283827,-0.3427859
-74.7186238,-0.3475835
-74.7083241,-0.3494717
-74.6944108,-0.3335071
-74.6860766,-0.3286494
-74.6791417,-0.3311043
-74.676335,-0.3362798
-74.6780087,-0.3425368
-74.6801717,-0.3480985
-74.6793134,-0.3539349
-74.6768848,-0.3621918
-74.6758801,-0.3656076
-74.670902,-0.3719589
-74.6658664,-0.3738321
-74.6603702,-0.3744823
-74.6558067,-0.3705474
-74.6536705,-0.3678653
-74.6502055,-0.3632473
-74.6451824,-0.3608985
-74.6383892,-0.3597282
-74.615627,-0.3523899
-74.6116672,-0.350839
-74.6080739,-0.3520466
-74.6070479,-0.3541237
-74.6072687,-0.3572619
-74.6110116,-0.3652785
-74.6163395,-0.3729118
-74.6163224,-0.3776063
-74.608443,-0.3835373
-74.5988042,-0.3832883
-74.5893628,-0.38346
-74.577973,-0.390043
-74.5537079,-0.4076901
